Side,Shoulder_Angle,Elbow_Angle,Hip_Angle,Knee_Angle,Ankle_Angle,Shoulder_Ground_Angle,Elbow_Ground_Angle,Hip_Ground_Angle,Knee_Ground_Angle,Ankle_Ground_Angle,Label
left,5.366725052481683,174.89974877721104,171.06463666698224,176.95680948414383,167.11957747143614,2.3535095993969346,7.447413183231118,5.914743402010872,8.957337652379316,21.838184584553343,Bicep Curl
left,5.379469600155283,174.97900773808354,171.11603202190992,176.93886501517073,167.09336911251413,2.388609094501589,7.403463863238944,5.885889942673445,8.946423262685753,21.8534719226237,Bicep Curl
left,5.366504109803971,175.02055643713356,171.1328005281491,176.92759124184244,167.08725031299173,2.3856241520885706,7.3589617273957595,5.879125781332417,8.950934417269806,21.864094192665025,Bicep Curl
left,5.357047614959637,175.03000781095912,171.1360689229954,176.92309409819086,167.05341737190938,2.3785577952901935,7.34244425414253,5.878241390916488,8.954547793865858,21.90153308880381,Bicep Curl
left,5.358261535482757,175.02797429991912,171.1473740000261,176.90639887444638,167.0286069186294,2.382800418187329,7.348762150946494,5.869999810831134,8.962996650419507,21.934789048508875,Bicep Curl
left,5.356026675936565,175.00288621955184,171.1710473590627,176.87951181511008,167.00753354138573,2.388172522756516,7.379260675227837,5.853973543376452,8.97384884002612,21.966711762558226,Bicep Curl
left,5.344385064075872,174.95433457095638,171.1687460986102,176.86283752083665,166.94408663273208,2.3709099556387714,7.4104843054635685,5.85058594226522,8.987131050926621,22.04343412091857,Bicep Curl
left,5.326126075831127,174.89249655274395,171.1671899207082,176.84578745110227,166.84365112001038,2.3492998285880735,7.450628365363406,5.84870739611924,9.00229856964549,22.159024650442564,Bicep Curl
left,5.279216177311655,174.7202869924758,171.1690930154576,176.8301190044742,166.82516561653011,2.3031851597089537,7.576487492510798,5.847392124081316,9.016650101931948,22.191860553352583,Bicep Curl
left,4.896508512073626,173.34261466526507,171.14105685709842,176.83102336003967,166.8420510964379,1.909458079322606,8.558057131531038,5.862245700275897,9.030603779002732,22.188933649264268,Bicep Curl
left,4.416184334414924,172.00531977943578,171.14191831197678,176.8178947738363,166.8147488939096,1.4360167799697436,9.4176362058404,5.864155939187818,9.045643050347588,22.23127559488068,Bicep Curl
